Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,Assists_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,67.3,2.0,1.38,1.53,0.47,0.0,1.16,1.72,0.56,1.22,0.59,0.62,0.88,2.88,3.0,0.03,1.44,0.09,1.06,0.09,0.06,0.09,0.09,0.03,0.09,0.0,0.0,0.0,0.0,0.0,75.4,90.5,75.0,35.6,34.59,45.91,518.38,191.66,20.16,22.28,11.97,15.97,1.78,5.0,0.05,0.05,0.01,0.62,1.56,1.16,0.28,3.66,45.91,35.31,10.38,0.53,0.16,0.12,1.56,9.84,0.0,0.0,0.0,0.0,34.59,0.22,1.25,34,32,"2,881",0,0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,0.25,0.0,2.44,3.66,2.66,50.0,50.0,57.53,5.0,22.53,21.97,13.75,0.72,57.53,2.12,1.06,1.06,29.78,201.69,105.53,2.44,1.47,0.38,1.19,0.72,32.19,2.66,15.4,0.41,0.06,0.0,0.0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,50.0,1.45,0.82,1.03,0.42,0.0,0.48,0.97,0.48,1.51,0.76,0.76,2.05,3.5,3.14,0.0,0.66,0.03,0.51,0.0,0.06,0.03,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,81.4,88.5,90.9,54.5,38.79,47.67,770.88,289.61,12.54,14.17,21.6,23.78,4.38,8.04,0.02,0.02,-0.02,0.27,2.87,0.21,0.0,3.6,47.67,44.44,3.05,2.69,0.0,0.97,0.12,0.27,0.0,0.0,0.0,0.0,38.79,0.18,0.79,34,34,"2,983",0,0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,0.15,0.03,0.69,3.6,0.42,77.8,22.2,57.98,6.4,30.73,25.47,2.54,0.73,57.98,0.54,0.42,0.12,36.07,194.89,107.49,0.69,0.57,0.0,0.85,0.39,36.31,0.42,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,0.8,0.8
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,35.1,1.57,0.84,0.91,0.58,0.07,0.73,2.08,1.35,0.66,0.04,0.62,1.53,3.1,0.55,0.0,1.83,0.11,1.5,0.0,0.0,0.15,0.15,0.04,0.11,0.0,0.0,0.0,0.0,0.0,90.2,92.9,93.7,83.7,56.02,62.08,931.31,199.12,27.3,29.38,23.91,25.51,3.94,4.71,0.03,0.03,-0.03,0.62,3.18,0.47,0.04,3.94,62.08,61.24,0.77,0.62,0.04,0.11,0.51,0.15,0.0,0.0,0.0,0.0,56.02,0.07,1.06,31,29,"2,462",0,0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,0.44,0.11,0.88,3.94,1.72,63.4,36.6,71.09,1.42,20.33,41.82,9.53,0.58,71.09,1.5,0.95,0.55,50.58,239.78,98.07,0.88,0.84,0.11,1.53,1.09,54.05,1.72,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.7,0.7,0.04,0.3,0.3
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,42.8,3.35,1.83,1.34,1.62,0.4,2.16,5.06,2.9,1.77,0.03,1.74,1.68,5.03,0.4,0.0,2.53,0.27,2.04,0.06,0.09,0.03,0.21,0.09,0.24,0.0,0.0,0.0,0.03,0.0,80.8,89.2,86.3,64.4,40.91,50.61,724.6,208.45,18.48,20.7,16.31,18.9,4.63,7.2,0.11,0.08,-0.05,1.07,4.48,0.7,0.27,5.21,50.61,49.3,1.07,0.76,0.21,0.64,1.13,0.24,0.06,0.0,0.03,0.0,40.91,0.24,1.49,34,34,"2,956",0,0,0.0,0.06,0.06,0.0,0.06,0.04,0.11,0.16,0.04,0.16,0.27,0.0,0.91,5.21,2.23,63.9,36.1,61.95,0.73,12.32,39.57,10.88,0.4,61.95,1.86,1.19,0.67,39.97,171.62,71.74,0.91,1.19,0.09,1.59,1.22,42.99,2.23,24.1,0.88,0.21,0.0,0.0,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,40.9,0.79,0.38,0.2,0.41,0.17,0.26,0.64,0.38,0.5,0.09,0.41,0.15,0.93,0.79,0.0,2.74,0.41,1.81,0.03,0.17,0.5,0.2,0.03,0.17,0.0,0.06,0.09,0.09,0.0,69.7,73.1,74.4,71.8,14.14,20.29,198.83,47.29,8.54,11.69,3.91,5.25,0.82,1.14,0.14,0.07,-0.02,1.11,1.02,0.79,0.09,2.04,20.29,18.28,1.95,0.17,0.15,0.03,0.47,0.06,0.0,0.0,0.0,0.0,14.14,0.06,0.58,37,36,"3,084",3,3,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68,0.26,0.0,1.2,2.04,5.8,49.4,50.6,31.02,0.93,2.13,14.81,14.43,5.04,30.93,2.24,1.11,1.14,14.4,75.57,32.92,1.2,0.9,0.64,2.51,1.2,21.46,5.8,38.0,2.68,1.02,0.15,0.4,12.9,3,3,3,20.7,18.4,0.2,-3.7,-4.4
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,63.2,0.89,0.43,0.53,0.32,0.04,0.43,0.67,0.25,1.31,0.99,0.32,1.21,2.09,3.26,0.0,0.61,0.07,0.46,0.04,0.0,0.04,0.07,0.0,0.04,0.0,0.0,0.0,0.04,0.0,89.9,92.7,94.9,71.3,65.14,72.45,1240.99,435.21,24.04,25.92,32.59,34.33,7.48,10.5,0.02,0.03,-0.02,0.18,4.22,0.21,0.0,4.22,72.45,69.33,3.09,2.73,0.04,1.21,0.11,0.04,0.0,0.0,0.0,0.0,65.14,0.04,0.21,30,29,"2,536",0,0,0.14,0.0,0.14,0.14,0.14,0.09,0.02,0.1,0.09,0.1,0.07,0.04,1.1,4.22,0.35,66.7,33.3,81.38,9.5,39.08,40.53,2.09,0.78,81.38,0.21,0.14,0.07,48.37,244.43,152.52,1.1,0.67,0.0,0.46,0.14,58.19,0.35,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,1.6,1.6
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,65.2,1.99,1.16,1.08,0.56,0.36,1.2,1.83,0.64,0.88,0.2,0.68,0.56,2.55,1.0,0.04,2.99,0.12,1.91,0.76,0.08,0.12,0.12,0.0,0.04,0.08,0.0,0.0,0.0,0.0,78.6,91.7,83.4,55.9,61.47,78.21,1168.45,406.61,26.37,28.76,25.5,30.56,8.73,15.62,0.12,0.16,0.0,1.71,4.58,1.71,1.08,5.22,78.21,64.7,13.27,2.51,0.12,1.2,7.09,9.16,1.59,0.0,1.24,0.0,61.47,0.24,1.2,31,26,"2,260",0,0,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16,0.4,0.0,2.91,5.22,6.1,66.7,33.3,87.01,2.15,25.38,38.21,24.62,0.76,87.01,2.63,1.75,0.88,50.04,249.12,151.35,2.91,2.31,0.08,1.51,1.08,58.45,6.1,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2
Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,12.5,0.57,0.26,0.22,0.22,0.13,0.09,0.7,0.62,0.79,0.09,0.7,0.35,0.93,0.79,0.0,2.25,0.22,1.41,0.0,0.09,0.18,0.48,0.09,0.13,0.0,0.04,0.0,0.0,0.04,64.4,73.4,68.9,52.9,13.39,20.79,184.49,44.8,8.28,11.28,3.22,4.67,0.79,1.5,0.13,0.07,0.0,1.15,1.06,0.44,0.0,1.45,20.79,20.62,0.09,0.0,0.18,0.22,0.35,0.04,0.0,0.0,0.0,0.0,13.39,0.09,0.97,30,23,"2,039",0,0,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,0.0,0.0,0.84,1.45,6.74,57.1,42.9,31.37,0.97,3.57,12.91,15.15,4.14,31.37,1.54,0.88,0.66,17.36,79.47,28.68,0.84,0.57,0.57,2.6,1.5,23.66,6.74,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,28.0,1.53,0.47,0.33,1.07,0.13,0.47,1.67,1.2,1.6,0.07,1.53,1.07,2.6,1.27,0.13,1.73,0.27,1.53,0.07,0.07,0.07,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,86.5,92.2,90.6,69.0,52.93,61.2,793.53,230.07,28.27,30.67,18.53,20.47,3.27,4.73,0.06,0.09,0.01,0.47,5.67,0.53,0.0,6.4,61.2,58.8,2.13,1.07,0.07,0.0,0.13,0.93,0.0,0.0,0.0,0.0,52.93,0.27,1.0,24,12,"1,351",0,0,0.0,0.07,0.07,0.0,0.07,0.01,0.06,0.07,0.01,0.07,0.33,0.0,1.33,6.4,1.53,56.5,43.5,70.8,1.87,12.27,49.27,10.0,0.67,70.8,1.53,0.87,0.67,40.47,188.33,87.93,1.33,1.4,0.2,1.33,0.6,50.0,1.53,0.0,0.13,0.0,0.0,0.0,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,53.3,1.93,1.0,0.71,1.0,0.21,0.57,1.07,0.5,1.86,0.14,1.71,0.79,2.71,0.86,0.0,3.51,0.43,2.79,0.07,0.21,0.29,0.14,0.0,0.36,0.0,0.0,0.07,0.0,0.0,72.9,80.5,75.3,50.0,26.86,36.86,357.64,109.21,15.64,19.43,8.93,11.86,0.64,1.29,0.15,0.11,-0.01,1.0,1.93,1.36,0.29,4.0,36.86,35.29,1.21,0.07,0.43,0.0,1.5,0.79,0.07,0.0,0.0,0.0,26.86,0.36,1.93,25,13,"1,256",0,0,0.21,0.14,0.36,0.21,0.36,0.31,0.15,0.46,0.31,0.46,0.21,0.0,3.64,4.0,7.5,56.8,43.2,52.07,0.64,8.29,24.79,20.14,4.07,52.07,2.64,1.5,1.14,32.57,202.57,123.64,3.64,2.07,1.07,3.36,1.29,37.93,7.5,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,27.9,1.71,1.08,0.88,0.56,0.28,0.76,2.71,1.95,1.31,0.12,1.2,1.47,3.19,0.44,0.08,4.82,0.72,3.23,0.88,0.24,0.12,0.2,0.16,0.52,0.12,0.04,0.0,0.04,0.0,72.4,85.4,76.2,56.3,36.1,49.84,697.41,240.92,16.33,19.12,12.35,16.22,6.25,11.12,0.23,0.17,0.05,2.35,4.86,1.43,0.16,6.53,49.84,44.02,5.5,1.91,0.44,1.2,4.54,0.48,2.71,1.51,0.68,0.04,36.1,0.32,1.0,36,25,"2,260",0,0,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31,0.2,0.0,2.63,6.53,3.94,57.5,42.5,61.0,0.64,10.6,31.59,19.56,1.79,61.0,3.19,1.83,1.35,39.68,230.32,106.18,2.63,1.99,0.68,2.35,1.87,41.83,3.94,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,48.6,1.89,1.22,0.94,0.61,0.33,1.0,2.06,1.06,1.11,0.17,0.94,1.39,3.28,2.11,0.0,1.78,0.17,1.39,0.17,0.11,0.0,0.11,0.0,0.11,0.0,0.06,0.0,0.0,0.0,69.1,79.9,73.5,40.0,30.39,44.0,500.44,252.06,15.5,19.39,12.0,16.33,2.44,6.11,0.04,0.04,0.02,0.78,2.83,1.11,0.67,3.17,44.0,33.89,9.94,0.33,0.0,0.28,2.5,9.56,0.06,0.0,0.0,0.0,30.39,0.17,0.89,24,17,"1,616",0,0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,0.22,0.0,0.83,3.17,2.22,73.7,26.3,53.67,2.39,16.56,24.89,12.61,0.67,53.67,1.06,0.78,0.28,23.83,91.5,48.28,0.83,1.06,0.06,1.22,0.44,25.83,2.22,0.0,0.22,0.0,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51.1,2.45,1.49,1.15,0.96,0.34,1.11,2.16,1.06,1.44,0.43,1.01,2.5,4.95,1.3,0.05,1.69,0.1,1.35,0.05,0.05,0.19,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,83.9,89.0,87.0,79.4,40.19,47.88,721.59,216.97,17.84,20.05,15.77,18.12,5.38,6.78,0.03,0.03,-0.03,0.62,4.13,0.38,0.0,5.58,47.88,45.91,1.83,1.44,0.0,0.48,0.24,0.0,0.05,0.0,0.05,0.0,40.19,0.14,0.96,27,21,"1,868",0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.05,0.08,0.29,0.0,0.77,5.58,1.35,68.8,31.3,58.17,2.64,17.02,32.02,9.9,1.44,58.17,1.54,1.06,0.48,33.89,168.7,75.19,0.77,0.91,0.29,0.91,0.82,35.62,1.35,6.7,0.72,0.05,0.0,0.0,11.9,0,0,0,1.2,1.1,0.07,-1.2,-1.1
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,35.0,3.21,1.9,0.95,1.9,0.36,0.51,1.46,0.95,1.61,0.0,1.61,0.58,3.8,0.44,0.0,2.84,0.22,1.53,0.0,0.44,0.29,0.29,0.29,0.07,0.0,0.0,0.0,0.0,0.15,72.0,78.2,83.3,35.0,20.44,28.39,276.5,84.89,12.04,15.4,6.57,7.88,0.51,1.46,0.07,0.05,0.01,0.73,2.41,0.8,0.07,3.36,28.39,27.37,0.8,0.07,0.0,0.07,1.61,0.29,0.29,0.22,0.07,0.0,20.44,0.22,1.61,23,12,"1,237",0,0,0.22,0.07,0.29,0.22,0.29,0.19,0.06,0.25,0.19,0.25,0.15,0.07,2.99,3.36,4.09,54.9,45.1,42.55,0.73,5.26,19.42,19.12,2.34,42.55,3.72,2.04,1.68,23.58,157.88,84.31,2.99,2.55,1.09,2.92,2.7,27.3,4.09,52.4,1.53,0.8,0.14,0.27,17.2,0,0,0,2.6,2.6,0.12,0.4,0.4
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,58.3,0.89,0.59,0.53,0.36,0.0,0.46,0.79,0.33,0.79,0.46,0.33,0.79,1.68,4.18,0.03,0.49,0.13,0.33,0.0,0.0,0.13,0.03,0.0,0.1,0.0,0.0,0.0,0.03,0.0,88.9,92.9,94.9,69.6,64.44,72.5,1329.41,504.24,20.16,21.71,34.54,36.38,9.11,13.09,0.01,0.01,0.06,0.13,3.88,0.07,0.0,3.32,72.5,69.97,2.43,2.27,0.07,1.35,0.03,0.16,0.0,0.0,0.0,0.0,64.44,0.1,0.39,31,31,"2,735",0,0,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08,0.1,0.03,0.36,3.32,0.03,83.3,16.7,81.22,7.27,37.6,41.91,1.94,1.12,81.22,0.2,0.16,0.03,52.99,261.09,148.55,0.36,0.23,0.0,0.23,0.13,60.82,0.03,28.0,0.82,0.23,0.08,0.29,9.4,0,0,0,2.1,2.1,0.08,-0.1,-0.1
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,63.2,3.28,2.23,1.64,1.34,0.29,1.81,2.86,1.05,0.8,0.17,0.63,1.85,5.13,2.39,0.0,1.35,0.17,1.05,0.13,0.04,0.04,0.08,0.0,0.13,0.04,0.0,0.0,0.0,0.0,83.0,92.4,85.0,52.2,60.29,72.61,974.54,368.32,31.3,33.87,23.49,27.65,3.91,7.48,0.04,0.12,0.05,0.5,5.21,1.34,0.21,6.6,72.61,60.71,11.64,1.43,0.17,0.67,2.69,10.17,0.04,0.0,0.04,0.0,60.29,0.25,1.13,28,22,"2,140",0,0,0.0,0.08,0.08,0.0,0.08,0.01,0.04,0.05,0.01,0.05,0.17,0.0,2.56,6.6,4.24,45.5,54.5,83.82,3.19,21.3,42.65,20.46,1.13,83.82,0.46,0.21,0.25,47.61,228.49,122.69,2.56,2.27,0.17,1.3,0.21,49.87,4.24,20.0,0.42,0.08,0.0,0.0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,64.5,2.53,1.73,1.8,0.6,0.13,1.33,2.07,0.73,1.07,0.53,0.53,1.47,4.0,2.93,0.0,1.33,0.13,1.07,0.07,0.0,0.13,0.0,0.07,0.13,0.0,0.0,0.0,0.0,0.0,89.3,93.1,92.7,74.2,51.07,57.2,943.07,304.13,20.67,22.2,23.53,25.4,5.93,8.0,0.06,0.03,0.01,0.73,2.6,0.33,0.07,4.2,57.2,55.07,2.07,1.53,0.0,0.47,0.4,0.53,0.0,0.0,0.0,0.0,51.07,0.07,0.2,15,15,"1,350",0,0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09,0.4,0.0,1.2,4.2,0.8,25.0,75.0,67.0,6.27,30.6,33.0,4.0,0.87,67.0,0.27,0.07,0.2,47.67,281.8,163.27,1.2,0.93,0.2,0.53,0.33,44.6,0.8,50.0,0.53,0.27,0.0,0.0,16.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,26.3,1.43,0.8,0.36,0.8,0.27,0.45,1.7,1.25,0.71,0.09,0.62,1.7,3.12,0.62,0.0,2.06,0.27,1.7,0.0,0.09,0.09,0.09,0.09,0.27,0.0,0.0,0.0,0.0,0.0,82.3,85.9,89.1,56.8,30.27,36.79,459.73,96.16,14.64,17.05,11.7,13.12,1.88,3.3,0.07,0.09,0.02,0.54,2.05,0.8,0.09,3.39,36.79,36.07,0.71,0.71,0.09,0.18,0.54,0.0,0.0,0.0,0.0,0.0,30.27,0.0,0.98,25,11,"1,004",0,0,0.09,0.09,0.18,0.09,0.18,0.17,0.08,0.24,0.17,0.24,0.18,0.0,1.43,3.39,3.48,47.8,52.2,48.3,1.07,7.5,28.48,13.04,1.52,48.3,2.05,0.98,1.07,28.75,148.48,68.66,1.43,0.98,0.18,1.88,0.89,30.45,3.48,11.8,1.52,0.18,0.06,0.5,21.2,0,0,0,1.9,1.9,0.11,-0.9,-0.9
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,54.8,1.33,0.89,0.96,0.34,0.03,0.58,1.06,0.48,0.78,0.44,0.34,1.3,2.63,3.28,0.1,0.55,0.07,0.51,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,81.0,85.5,89.2,57.2,43.34,53.48,888.05,284.37,12.25,14.33,25.26,28.33,5.43,9.49,0.01,0.02,-0.01,0.2,3.45,0.17,0.03,3.75,53.48,52.25,1.09,0.44,0.03,0.38,0.1,0.65,0.0,0.0,0.0,0.0,43.34,0.14,0.31,32,30,"2,637",0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.03,0.0,0.85,3.75,0.1,81.8,18.2,62.39,6.69,30.51,30.55,1.64,0.41,62.39,0.38,0.31,0.07,37.92,203.92,125.84,0.85,0.34,0.03,0.48,0.2,39.69,0.1,16.7,0.2,0.03,0.0,0.0,13.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,65.2,1.69,1.19,0.69,0.62,0.38,0.94,1.44,0.5,1.06,0.19,0.88,1.75,3.44,1.88,0.0,2.32,0.06,1.81,0.12,0.19,0.0,0.19,0.0,0.06,0.0,0.0,0.0,0.0,0.0,70.9,86.1,72.1,47.3,33.44,47.19,543.31,221.25,17.0,19.75,12.62,17.5,2.75,5.81,0.11,0.09,-0.11,1.0,2.69,1.25,0.25,4.25,47.19,37.5,9.44,0.56,0.06,0.0,2.12,8.88,0.0,0.0,0.0,0.0,33.44,0.25,1.88,21,17,"1,437",0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,0.25,0.0,2.62,4.25,4.88,45.0,55.0,59.38,3.0,14.19,27.56,18.38,1.69,59.38,2.5,1.12,1.38,30.19,179.5,87.38,2.62,2.12,0.44,2.0,0.62,33.12,4.88,40.0,0.63,0.25,0.0,0.0,23.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,50.0,3.15,1.77,2.27,0.74,0.15,1.08,2.17,1.08,1.18,0.1,1.08,1.08,4.24,1.92,0.05,2.22,0.3,1.48,0.39,0.2,0.0,0.1,0.05,0.2,0.05,0.0,0.0,0.05,0.0,74.4,88.6,75.6,38.3,37.59,50.49,598.57,200.2,20.59,23.25,13.45,17.78,2.66,6.95,0.08,0.05,0.02,0.84,1.38,0.69,0.49,2.41,50.49,39.95,10.39,0.49,0.05,0.34,4.73,8.47,1.43,0.54,0.79,0.0,37.59,0.15,0.94,23,20,"1,828",0,0,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,0.2,0.0,2.96,2.41,6.26,51.9,48.1,63.69,2.41,22.61,22.56,19.31,1.92,63.69,3.99,2.07,1.92,32.46,184.43,97.0,2.96,1.87,0.94,2.17,1.33,36.26,6.26,30.8,0.64,0.2,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,61.9,1.31,0.81,0.95,0.27,0.09,0.59,0.95,0.36,0.86,0.5,0.36,1.17,2.48,3.33,0.0,1.5,0.32,0.99,0.27,0.09,0.05,0.05,0.05,0.14,0.05,0.09,0.0,0.05,0.0,70.3,81.5,74.6,44.8,28.24,40.18,456.44,213.51,13.65,16.76,11.49,15.41,2.12,4.73,0.08,0.08,0.06,0.36,1.85,0.59,0.09,3.69,40.18,33.06,6.94,0.27,0.09,0.14,0.77,6.67,0.0,0.0,0.0,0.0,28.24,0.18,1.26,24,23,"1,995",0,0,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,0.23,0.0,1.35,3.69,1.31,72.2,27.8,49.59,4.86,19.91,21.8,8.15,1.4,49.59,0.81,0.59,0.23,21.98,134.73,77.34,1.35,1.13,0.09,1.13,0.32,23.87,1.31,14.3,0.32,0.05,0.14,1.0,8.8,0,0,0,0.8,0.8,0.11,0.2,0.2
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,17.5,1.18,0.82,0.16,0.62,0.39,0.23,1.32,1.09,0.92,0.1,0.82,0.26,1.45,1.02,0.03,2.76,0.33,2.07,0.0,0.07,0.3,0.3,0.03,0.2,0.0,0.0,0.07,0.07,0.0,72.1,76.3,72.0,70.5,21.48,29.8,301.68,45.69,12.7,16.64,5.66,7.86,1.41,2.01,0.23,0.13,0.03,1.51,0.99,0.76,0.13,2.27,29.8,28.95,0.79,0.03,0.16,0.33,0.56,0.07,0.0,0.0,0.0,0.0,21.48,0.07,0.53,36,31,"2,738",3,3,0.39,0.26,0.66,0.3,0.56,0.35,0.23,0.58,0.27,0.5,0.16,0.03,0.69,2.27,7.14,51.9,48.1,40.53,1.22,3.39,21.35,16.25,4.54,40.43,0.89,0.46,0.43,21.41,82.8,24.7,0.69,0.72,0.3,2.3,1.18,31.05,7.14,42.9,1.84,0.79,0.16,0.38,13.5,0,3,3,10.6,8.3,0.15,1.4,0.7
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,68.8,1.31,0.92,0.8,0.44,0.08,0.88,1.27,0.4,1.04,0.6,0.44,1.39,2.71,2.31,0.0,0.64,0.04,0.48,0.08,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,90.4,93.0,95.6,74.8,72.47,80.2,1447.01,551.24,23.31,25.06,38.76,40.56,9.36,12.51,0.0,0.03,-0.0,0.08,4.86,0.08,0.0,4.58,80.2,77.45,2.63,2.35,0.04,1.04,0.12,0.28,0.0,0.0,0.0,0.0,72.47,0.12,0.4,26,25,"2,261",0,0,0.04,0.0,0.04,0.04,0.04,0.08,0.0,0.08,0.08,0.08,0.12,0.0,0.72,4.58,0.32,88.9,11.1,87.45,7.89,38.37,47.09,2.59,0.84,87.45,0.36,0.32,0.04,60.44,318.09,178.41,0.72,0.48,0.0,0.32,0.04,65.7,0.32,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0,1.9,1.9,0.15,-0.9,-0.9
