Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,Assists_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Lucas Leiva,br BRA,MF,Lazio,it Serie A,34,1987,18.9,28.3,2.91,1.59,1.38,1.32,0.21,0.79,2.8,2.01,1.43,0.53,0.9,1.48,4.39,1.96,0.0,1.11,0.16,0.9,0.05,0.0,0.0,0.05,0.11,0.16,0.0,0.0,0.0,0.0,0.0,91.6,93.8,94.2,84.9,59.84,65.34,929.1,297.2,33.02,35.19,21.43,22.75,3.86,4.55,0.02,0.03,-0.02,0.32,6.93,0.16,0.0,4.44,65.34,63.17,1.96,1.9,0.0,0.11,0.21,0.0,0.05,0.0,0.05,0.0,59.84,0.21,0.63,35,19,"1,697",0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,0.48,0.0,0.53,4.44,0.21,75.0,25.0,74.71,3.76,18.99,50.42,5.71,0.0,74.71,0.21,0.16,0.05,33.86,106.3,44.02,0.53,0.32,0.0,0.21,0.42,51.53,0.21,0.0,0.16,0.0,0.0,0.0,23.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Florian Lejeune,fr FRA,DF,Alavés,es La Liga,30,1991,30.0,60.0,1.1,0.8,0.73,0.33,0.03,0.4,0.67,0.27,1.0,0.63,0.37,1.03,2.13,5.27,0.0,0.4,0.03,0.33,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,77.5,81.3,87.9,60.6,30.27,39.07,729.7,299.27,7.23,8.9,16.3,18.53,6.4,10.57,0.01,0.01,-0.01,0.17,1.97,0.13,0.0,2.47,39.07,36.3,2.6,2.53,0.03,1.73,0.1,0.07,0.0,0.0,0.0,0.0,30.27,0.17,0.3,30,30,"2,699",0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,0.3,0.03,0.2,2.47,0.13,50.0,50.0,49.63,7.5,26.17,22.03,1.83,0.73,49.63,0.2,0.1,0.1,23.27,102.43,44.7,0.2,0.1,0.07,0.33,0.03,24.4,0.13,9.1,0.73,0.07,0.0,0.0,20.9,6,0,0,1.5,1.5,0.07,-1.5,-1.5
Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,28,1993,21.4,50.0,1.5,1.07,0.75,0.56,0.19,1.03,2.06,1.03,1.73,0.56,1.17,1.07,2.57,2.94,0.0,1.59,0.23,1.17,0.28,0.0,0.05,0.0,0.09,0.14,0.05,0.0,0.0,0.0,0.05,72.5,87.8,75.2,42.5,40.84,56.31,694.3,301.4,19.49,22.2,16.45,21.87,3.69,8.69,0.11,0.1,-0.01,0.61,3.08,0.89,0.65,3.93,56.31,42.85,13.22,1.17,0.0,0.89,3.08,12.06,0.0,0.0,0.0,0.0,40.84,0.23,1.4,25,22,"1,925",0,0,0.0,0.09,0.09,0.0,0.09,0.01,0.11,0.11,0.01,0.11,0.14,0.0,2.43,3.93,3.36,44.8,55.2,66.68,4.16,21.21,29.72,16.5,0.51,66.68,1.36,0.61,0.75,31.03,158.69,81.31,2.43,1.82,0.23,1.31,0.47,33.36,3.36,14.3,0.33,0.05,0.0,0.0,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25,1995,16.0,34.8,1.5,0.88,0.56,0.75,0.19,0.5,1.44,0.94,1.12,0.0,1.12,0.5,2.0,0.69,0.0,4.12,0.69,2.81,0.56,0.25,0.31,0.19,0.0,0.44,0.06,0.06,0.12,0.0,0.0,78.5,87.1,81.8,55.2,38.81,49.44,588.75,184.25,20.62,23.69,11.81,14.44,3.62,6.56,0.21,0.23,0.11,1.94,3.0,2.44,0.88,5.94,49.44,44.06,5.12,1.38,0.12,0.44,5.62,1.12,2.62,1.0,0.81,0.0,38.81,0.25,1.06,24,17,"1,440",0,0,0.25,0.31,0.56,0.25,0.56,0.21,0.21,0.42,0.21,0.42,0.12,0.0,3.38,5.94,5.75,58.9,41.1,60.69,1.19,7.12,26.38,27.56,2.81,60.69,3.5,2.06,1.44,36.75,231.0,114.75,3.38,2.88,0.56,1.12,2.12,43.38,5.75,27.6,1.81,0.5,0.14,0.5,18.6,1,0,0,3.4,3.4,0.12,0.6,0.6
Mario Lemina,ga GAB,MF,Nice,fr Ligue 1,27,1993,21.9,73.7,2.83,1.6,1.14,1.51,0.18,1.28,1.74,0.46,1.46,0.41,1.05,2.19,5.02,1.69,0.0,1.51,0.09,1.19,0.0,0.0,0.0,0.18,0.14,0.05,0.0,0.0,0.0,0.05,0.0,87.3,91.5,91.1,68.8,46.94,53.79,831.32,232.65,20.55,22.47,21.37,23.47,4.34,6.3,0.02,0.03,-0.02,0.27,4.34,0.23,0.0,4.25,53.79,52.69,0.96,0.78,0.14,0.23,0.32,0.18,0.0,0.0,0.0,0.0,46.94,0.14,0.32,32,24,"1,967",0,0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,0.32,0.05,1.6,4.25,1.37,75.0,25.0,65.34,3.06,16.71,43.11,5.94,1.05,65.34,1.64,1.23,0.41,42.1,259.91,126.07,1.6,0.96,0.14,0.96,0.64,45.07,1.37,25.0,0.73,0.18,0.13,0.5,15.5,0,0,0,2.0,2.0,0.12,0.0,0.0
Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34,1987,12.4,41.5,2.82,1.77,1.61,1.13,0.08,1.37,3.31,1.94,1.69,0.32,1.37,1.13,3.95,1.94,0.08,1.77,0.08,1.61,0.16,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,88.2,90.6,92.3,75.9,63.15,71.61,1113.39,307.1,27.1,29.92,26.13,28.31,6.85,9.03,0.04,0.06,0.04,0.81,4.92,0.24,0.08,6.53,71.61,69.44,2.18,1.85,0.0,1.21,0.48,0.16,0.08,0.0,0.08,0.0,63.15,0.0,0.4,21,13,"1,117",0,0,0.0,0.08,0.08,0.0,0.08,0.02,0.04,0.06,0.02,0.06,0.4,0.0,1.05,6.53,0.97,66.7,33.3,81.37,3.39,22.18,49.6,10.08,0.81,81.37,0.97,0.65,0.32,50.81,214.35,94.19,1.05,1.53,0.08,0.73,0.65,58.23,0.97,0.0,0.32,0.0,0.0,0.0,19.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Aaron Lennon,eng ENG,"MF,FW",Burnley,eng Premier League,34,1987,17.2,29.4,1.92,0.99,0.58,0.76,0.58,0.58,1.98,1.4,1.51,0.23,1.28,0.52,2.44,0.81,0.0,1.92,0.23,1.22,0.0,0.29,0.12,0.29,0.0,0.06,0.0,0.12,0.0,0.06,0.0,66.0,79.2,63.7,35.7,14.65,22.21,190.7,45.52,9.07,11.45,3.78,5.93,0.58,1.63,0.03,0.03,-0.03,0.52,0.81,0.23,0.12,1.1,22.21,21.51,0.52,0.06,0.0,0.06,2.33,0.17,0.12,0.12,0.0,0.0,14.65,0.17,1.1,28,17,"1,551",0,0,0.12,0.0,0.12,0.12,0.12,0.06,0.03,0.09,0.06,0.09,0.12,0.0,2.21,1.1,4.48,43.3,56.7,31.51,1.22,4.94,12.91,14.13,2.44,31.51,1.74,0.76,0.99,16.63,95.41,42.91,2.21,0.58,1.16,1.45,0.76,19.42,4.48,33.3,0.7,0.23,0.17,0.5,20.1,0,0,0,1.1,1.1,0.09,0.9,0.9
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,29.4,0.31,0.09,0.0,0.18,0.12,0.15,0.52,0.37,0.52,0.06,0.46,0.18,0.49,0.24,0.0,3.33,0.46,1.93,0.03,0.55,0.49,0.31,0.03,0.24,0.0,0.09,0.09,0.03,0.0,75.0,82.1,75.6,52.5,17.58,23.46,223.52,48.47,11.07,13.49,4.46,5.9,0.64,1.22,0.13,0.15,-0.04,1.13,1.16,0.92,0.09,2.48,23.46,22.42,0.89,0.21,0.31,0.12,0.8,0.03,0.0,0.0,0.0,0.0,17.58,0.15,0.8,34,34,"2,946",5,5,1.07,0.09,1.16,0.92,1.01,1.01,0.13,1.15,0.9,1.03,0.06,0.0,1.41,2.48,8.2,58.0,42.0,35.47,0.43,1.41,13.39,20.95,7.4,35.32,2.48,1.44,1.04,20.95,100.12,37.95,1.41,0.95,0.64,2.54,1.68,28.04,8.2,48.1,4.77,2.29,0.19,0.4,13.6,3,5,5,33.2,29.3,0.19,1.8,0.7
Jamie Leweling,de GER,"FW,MF",Greuther Fürth,de Bundesliga,20,2001,21.8,18.8,0.6,0.37,0.14,0.32,0.14,0.14,0.73,0.6,0.41,0.0,0.41,0.6,1.19,0.23,0.0,2.07,0.23,1.01,0.0,0.46,0.14,0.37,0.09,0.09,0.0,0.09,0.0,0.05,0.0,61.4,70.7,67.2,38.3,11.7,19.04,179.68,37.02,5.87,8.3,4.13,6.15,0.83,2.16,0.08,0.08,-0.03,0.73,0.78,0.6,0.18,1.56,19.04,17.39,1.56,0.09,0.0,0.18,1.83,0.69,0.0,0.0,0.0,0.0,11.7,0.09,0.92,33,22,"1,959",0,0,0.23,0.05,0.28,0.23,0.28,0.18,0.08,0.26,0.18,0.26,0.14,0.0,3.49,1.56,7.02,51.1,48.9,32.71,0.37,3.21,14.22,15.87,3.39,32.71,4.13,2.11,2.02,22.52,174.59,78.26,3.49,1.24,1.56,3.99,2.57,24.08,7.02,38.6,2.02,0.78,0.11,0.29,17.6,0,0,0,4.0,4.0,0.09,1.0,1.0
Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,33,1988,22.7,59.7,3.13,1.89,1.76,0.93,0.44,2.03,3.39,1.37,0.53,0.0,0.53,0.93,4.05,1.23,0.0,3.08,0.44,1.76,1.06,0.0,0.13,0.09,0.04,0.31,0.04,0.0,0.04,0.04,0.0,72.1,89.1,76.4,46.2,45.59,63.22,873.26,262.25,20.48,23.0,17.53,22.95,6.78,14.67,0.13,0.2,0.0,1.63,3.79,1.89,1.28,5.02,63.22,50.44,12.73,2.07,0.09,1.37,8.28,8.19,2.47,0.26,1.94,0.0,45.59,0.04,1.15,33,23,"2,044",0,0,0.09,0.13,0.22,0.09,0.22,0.06,0.13,0.19,0.06,0.19,0.35,0.0,1.94,5.02,7.31,58.8,41.2,72.78,2.2,15.51,32.47,25.51,1.06,72.78,0.75,0.44,0.31,38.9,193.61,95.95,1.94,1.72,0.04,1.32,0.4,42.78,7.31,13.0,1.01,0.13,0.09,0.67,21.2,4,0,0,1.4,1.4,0.06,0.6,0.6
