,Player,Nation,Pos,Squad,Comp,Age,Born,90s,MP,Starts,Min,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Main_Pos,Secondary_Pos,Total_90s
0,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,24,1997,15.9,19,16,1435,92.0,2.52,1.57,1.26,1.07,0.19,1.45,1.57,0.13,1.51,0.5,1.01,1.38,3.9,2.58,0.0,1.88,0.06,1.82,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,84.0,92.8,80.8,63.6,44.4,52.83,599.87,207.04,28.18,30.38,12.2,15.09,1.76,2.77,0.0,0.06,0.06,-0.06,0.94,3.02,0.63,0.13,3.46,52.83,44.97,7.74,0.25,0.13,0.13,0.88,7.48,0.0,0.0,0.0,0.0,44.4,0.13,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.14,0.07,0.14,0.13,0.0,2.58,3.46,4.03,48.6,51.4,64.53,4.72,21.76,25.16,17.99,2.77,64.53,2.2,1.07,1.13,32.96,164.4,86.16,2.58,1.51,0.25,0.88,0.63,37.74,4.03,20.0,0.63,0.13,0.0,0.0,14.7,0.0,0,0,1.2,1.2,0.12,-1.2,-1.2,DF,None,15.9
1,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,25,1997,20.5,28,20,1847,52.5,2.05,1.32,1.22,0.54,0.29,1.02,1.95,0.93,1.07,0.05,1.02,0.73,2.78,1.51,0.0,2.87,0.24,1.9,0.88,0.05,0.05,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,74.0,90.8,79.5,39.0,37.12,50.15,618.15,254.73,18.78,20.68,13.8,17.37,3.56,9.12,0.15,0.14,0.17,0.01,1.32,3.32,1.41,0.78,4.2,50.15,35.61,14.29,1.9,0.0,0.2,7.07,9.51,2.88,2.05,0.78,0.0,37.12,0.24,1.41,0.0,1.0,0.24,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,0.15,0.0,1.22,4.2,2.98,47.6,38.1,58.15,2.29,14.78,25.51,18.54,0.68,58.1,1.02,0.49,0.39,28.39,137.32,59.37,1.22,0.93,0.15,0.73,0.68,30.29,2.98,38.9,0.88,0.34,0.28,0.71,25.9,8.0,0,1,2.2,1.4,0.08,2.8,3.6,DF,None,20.5
2,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29,1993,17.0,25,17,1533,32.4,1.82,1.18,0.53,0.88,0.41,0.71,2.18,1.47,1.53,0.18,1.35,0.76,2.59,0.65,0.0,2.65,0.18,2.24,0.0,0.18,0.12,0.0,0.12,0.18,0.0,0.0,0.0,0.0,0.0,78.5,82.6,82.4,53.8,25.29,32.24,331.59,78.41,15.41,18.65,8.24,10.0,0.41,0.76,0.12,0.13,0.08,-0.01,1.29,1.71,0.59,0.0,2.24,32.24,31.18,0.94,0.0,0.06,0.0,0.47,0.0,0.0,0.0,0.0,0.0,25.29,0.12,0.82,0.0,0.0,0.29,0.41,0.29,0.41,0.14,0.13,0.27,0.14,0.27,0.35,0.06,1.35,2.24,3.88,60.6,33.3,41.94,1.06,9.18,19.24,14.24,2.65,41.94,1.94,1.18,0.65,21.82,99.35,52.71,1.35,0.94,0.41,1.59,0.76,25.88,3.88,40.0,1.17,0.47,0.25,0.63,13.2,0.0,0,0,2.4,2.4,0.12,2.6,2.6,MF,None,17.0
3,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,fr Ligue 1,23,1998,22.8,28,23,2053,52.5,2.37,1.49,0.83,0.88,0.66,1.36,2.59,1.23,1.49,0.09,1.4,0.7,3.07,0.83,0.0,3.29,0.39,2.81,0.04,0.18,0.09,0.09,0.09,0.22,0.0,0.04,0.04,0.04,0.04,89.3,91.9,90.9,70.0,60.22,67.46,770.18,210.53,38.38,41.75,16.58,18.25,1.23,1.75,0.13,0.13,0.23,0.0,1.45,2.15,2.02,0.57,4.34,67.46,62.37,5.09,0.53,0.04,0.04,1.84,4.43,0.13,0.0,0.0,0.0,60.22,0.0,1.54,0.0,0.0,0.22,0.35,0.22,0.35,0.17,0.13,0.3,0.17,0.3,0.31,0.09,3.73,4.34,10.04,39.2,43.2,77.72,2.15,15.83,31.4,31.27,3.6,77.72,3.25,1.27,1.4,62.02,337.72,187.76,3.73,2.89,0.96,1.27,1.01,58.16,10.04,50.0,0.79,0.39,0.28,0.56,14.9,0.0,0,0,3.8,3.8,0.21,1.2,1.2,DF,MF,22.8
4,Adam Marušić,me MNE,DF,Lazio,it Serie A,29,1992,30.7,33,31,2760,64.1,1.34,0.98,0.75,0.46,0.13,0.81,1.27,0.46,0.65,0.2,0.46,1.24,2.57,2.05,0.03,1.14,0.1,0.91,0.1,0.0,0.03,0.0,0.1,0.07,0.0,0.0,0.03,0.0,0.0,85.5,92.2,84.8,63.4,50.94,59.58,778.57,315.57,28.21,30.59,17.79,20.98,3.39,5.34,0.07,0.04,0.04,0.03,0.29,3.49,0.23,0.13,3.78,59.58,51.24,8.24,0.91,0.0,0.26,0.55,7.33,0.0,0.0,0.0,0.0,50.94,0.1,0.59,0.0,0.0,0.0,0.07,0.0,0.07,0.02,0.03,0.06,0.02,0.06,0.26,0.03,1.24,3.78,1.4,66.7,20.0,66.74,3.26,25.9,32.74,8.47,0.55,66.74,0.49,0.33,0.1,34.69,153.16,86.94,1.24,1.27,0.13,0.42,0.42,43.45,1.4,43.8,0.52,0.23,0.0,0.0,24.0,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,DF,None,30.7
5,Adam Webster,eng ENG,DF,Brighton,eng Premier League,27,1995,22.1,27,23,1985,57.9,1.0,0.54,0.45,0.41,0.14,0.5,0.86,0.36,1.36,0.86,0.5,0.86,1.86,2.49,0.18,0.91,0.05,0.86,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,88.3,92.3,91.5,70.2,68.51,77.6,1261.99,464.25,25.57,27.69,36.7,40.09,5.66,8.05,0.0,0.01,0.02,-0.01,0.27,5.43,0.23,0.05,5.38,77.6,74.66,2.85,1.27,0.0,0.27,0.09,1.58,0.0,0.0,0.0,0.0,68.51,0.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,0.09,0.0,0.86,5.38,0.41,37.5,50.0,85.43,7.69,37.06,43.85,4.89,1.22,85.43,0.36,0.14,0.18,55.57,285.34,169.19,0.86,0.81,0.0,0.5,0.23,61.95,0.41,11.1,0.82,0.09,0.0,0.0,11.2,0.0,0,0,1.8,1.8,0.1,-1.8,-1.8,DF,None,22.1
6,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,24,1997,19.2,31,20,1729,20.0,0.68,0.26,0.1,0.31,0.26,0.16,0.78,0.62,0.94,0.0,0.94,0.21,0.89,0.05,0.0,4.53,0.62,3.12,0.31,0.52,0.26,0.26,0.05,0.42,0.0,0.05,0.1,0.05,0.0,75.8,85.3,76.2,56.8,25.62,33.8,354.27,105.47,14.79,17.34,7.5,9.84,1.3,2.29,0.31,0.34,0.26,-0.03,2.03,1.56,1.72,0.21,4.11,33.8,31.3,2.4,0.36,0.31,0.16,1.98,0.57,0.83,0.1,0.36,0.0,25.62,0.1,1.3,3.0,3.0,0.68,0.99,0.52,0.83,0.47,0.34,0.82,0.35,0.69,0.16,0.0,3.8,4.11,9.64,42.5,46.3,45.16,0.1,3.02,18.23,24.48,5.78,45.0,4.17,1.77,1.93,29.79,180.83,90.83,3.8,1.46,1.72,2.45,2.4,35.16,9.64,46.9,2.55,1.2,0.2,0.43,15.8,1.0,3,3,9.1,6.7,0.14,3.9,3.3,FW,MF,19.2
7,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,29,18,1472,47.8,3.05,1.65,1.28,1.59,0.18,1.34,2.8,1.46,1.4,0.0,1.4,0.55,3.6,0.55,0.0,3.79,0.55,1.77,1.16,0.43,0.12,0.24,0.06,0.18,0.12,0.06,0.12,0.06,0.0,63.9,81.0,68.5,43.6,21.71,33.96,386.59,115.67,9.88,12.2,7.44,10.85,2.93,6.71,0.18,0.21,0.16,-0.02,1.95,1.34,0.73,0.37,2.87,33.96,28.9,4.88,0.91,0.0,0.43,7.74,0.43,3.54,1.77,1.04,0.06,21.71,0.18,1.46,1.0,1.0,0.24,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39,0.3,0.06,3.78,2.87,7.01,40.5,48.3,52.74,0.85,7.62,19.76,26.52,2.56,52.68,7.07,2.87,3.41,30.98,236.89,111.65,3.78,2.87,0.85,2.99,1.89,31.52,7.01,40.4,2.87,1.16,0.06,0.16,23.9,13.0,1,1,3.8,3.1,0.06,0.2,-0.1,FW,MF,16.4
8,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,27,1995,30.5,32,31,2748,52.6,2.13,1.15,1.02,0.75,0.36,0.98,1.87,0.89,1.21,0.23,0.98,0.85,2.98,1.44,0.03,2.69,0.26,2.23,0.0,0.1,0.2,0.1,0.07,0.16,0.0,0.03,0.03,0.03,0.0,81.5,87.5,82.3,70.9,31.84,39.05,508.56,140.3,16.82,19.21,11.11,13.51,2.72,3.84,0.13,0.08,0.06,0.06,1.02,3.25,0.75,0.13,4.36,39.05,37.8,1.05,0.52,0.07,0.2,1.11,0.49,0.0,0.0,0.0,0.0,31.84,0.2,0.72,0.0,0.0,0.26,0.39,0.26,0.39,0.2,0.08,0.28,0.19,0.27,0.3,0.0,2.36,4.36,3.57,49.1,32.7,50.98,2.23,10.52,26.26,15.02,2.72,50.98,1.8,0.89,0.59,29.15,197.25,100.62,2.36,2.26,0.16,1.84,1.15,33.11,3.57,45.8,1.57,0.72,0.17,0.36,16.4,0.0,0,0,6.2,5.8,0.13,1.8,2.2,MF,None,30.5
9,Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,28,1994,33.7,37,35,3031,44.4,1.51,0.89,0.62,0.77,0.12,0.83,1.87,1.04,1.51,0.42,1.1,1.1,2.61,1.63,0.06,1.57,0.09,1.31,0.06,0.03,0.03,0.12,0.03,0.09,0.0,0.0,0.0,0.0,0.0,76.5,80.3,84.4,62.9,24.78,32.4,425.85,130.27,11.16,13.89,10.77,12.76,2.17,3.44,0.0,0.03,0.04,-0.03,0.65,2.7,0.5,0.09,3.06,32.4,30.27,1.9,1.45,0.0,0.18,0.62,0.12,0.0,0.0,0.0,0.0,24.78,0.24,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,0.09,0.0,0.95,3.06,1.72,49.1,41.5,42.37,2.88,11.28,24.6,7.24,0.62,42.37,1.57,0.77,0.65,21.16,117.3,48.01,0.95,1.01,0.12,1.16,1.01,21.93,1.72,16.7,0.36,0.06,0.0,0.0,22.8,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,MF,None,33.7
