Player,Nation,Pos,Squad,Comp,Age,Born,90s,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,MP,Starts,Min,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25.0,1998.0,16.1,40.0,0.81,0.37,0.31,0.25,0.25,0.37,0.93,0.56,0.37,0.06,0.31,0.43,1.24,0.19,0.06,2.66,0.37,1.74,0.43,0.19,0.19,0.12,0.0,0.25,0.0,0.0,0.12,0.0,0.0,82.4,88.3,83.9,48.0,30.75,37.33,447.2,150.31,16.89,19.13,10.37,12.36,1.49,3.11,0.06,0.11,0.12,-0.04,0.99,3.29,1.55,0.12,6.34,37.33,33.91,3.35,1.18,0.12,0.12,2.36,0.25,1.55,0.68,0.19,0.0,30.75,0.06,0.56,17,16,"1,453",0,0,0.31,0.37,0.31,0.37,0.17,0.1,0.28,0.17,0.28,0.06,0.0,4.22,6.34,4.84,47.3,46.2,49.57,0.62,7.27,22.67,20.81,2.48,49.57,5.78,2.73,2.67,40.81,317.7,133.04,4.22,2.98,0.68,2.3,1.06,37.2,4.84,37.0,1.67,0.62,0.19,0.5,19.0,1.0,0,0,2.8,2.8,0.1,2.2,2.2
Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28.0,1995.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.55,0.05,0.05,0.03,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,67.9,98.6,98.1,38.8,20.47,30.13,519.58,391.79,5.58,5.66,8.37,8.53,5.89,15.21,0.0,0.01,0.0,-0.01,0.03,0.18,0.0,0.0,0.03,30.13,22.0,8.03,1.5,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,20.47,0.11,0.0,38,38,"3,420",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,32.89,29.29,32.79,0.11,0.0,0.0,32.89,0.0,0.0,0.0,18.63,107.03,67.03,0.0,0.03,0.03,0.03,0.0,14.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fali,es ESP,DF,Cádiz,es La Liga,29.0,1993.0,28.3,58.3,1.45,0.92,1.02,0.39,0.04,0.74,1.27,0.53,1.34,0.85,0.49,0.95,2.4,4.24,0.0,0.6,0.0,0.53,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,76.1,88.5,87.1,49.3,28.23,37.1,618.73,240.88,7.6,8.59,15.55,17.84,4.84,9.82,0.0,0.0,0.01,-0.0,0.14,2.69,0.18,0.04,2.9,37.1,34.95,1.91,1.73,0.18,0.74,0.35,0.0,0.0,0.0,0.0,0.0,28.23,0.25,0.25,30,30,"2,547",0,0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.42,0.0,0.57,2.9,0.35,60.0,20.0,46.18,6.75,22.86,21.73,1.84,0.64,46.18,0.18,0.11,0.04,22.72,118.52,72.33,0.57,0.28,0.0,0.21,0.07,24.59,0.35,27.3,0.39,0.11,0.0,0.0,15.6,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8
Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19.0,2004.0,11.4,40.9,2.46,1.32,1.49,0.61,0.35,0.79,1.93,1.14,1.32,0.26,1.05,1.23,3.68,0.53,0.0,1.67,0.0,0.88,0.0,0.0,0.18,0.53,0.09,0.0,0.0,0.0,0.0,0.0,0.0,80.0,88.2,79.0,52.5,24.21,30.26,379.3,95.35,12.46,14.12,8.6,10.88,1.84,3.51,0.0,0.04,0.04,-0.04,0.7,2.72,0.35,0.09,3.07,30.26,29.21,0.88,0.35,0.09,0.35,1.14,0.35,0.0,0.0,0.0,0.0,24.21,0.18,0.53,23,11,"1,025",0,0,0.26,0.26,0.26,0.26,0.17,0.04,0.21,0.17,0.21,0.18,0.0,1.58,3.07,4.12,43.5,47.8,41.49,1.05,8.33,21.23,12.19,2.11,41.49,2.02,0.88,0.96,29.65,170.53,72.98,1.58,1.23,0.35,1.32,1.23,26.93,4.12,41.2,1.49,0.61,0.18,0.43,18.9,1.0,0,0,1.9,1.9,0.11,1.1,1.1
Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36.0,1987.0,15.1,57.1,1.19,0.73,0.93,0.26,0.0,0.53,0.93,0.4,1.46,1.26,0.2,1.13,2.32,6.56,0.07,0.6,0.13,0.46,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,75.0,84.0,81.9,50.9,29.14,38.87,555.76,231.39,10.79,12.85,14.37,17.55,3.64,7.15,0.0,0.01,0.02,-0.01,0.2,1.72,0.07,0.0,1.79,38.87,35.76,2.91,2.25,0.0,0.13,0.0,0.53,0.0,0.0,0.0,0.0,29.14,0.2,0.33,17,15,"1,355",0,0,0.07,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,0.2,0.07,0.13,1.79,0.13,100.0,0.0,51.19,8.87,26.69,22.91,1.79,1.13,51.19,0.13,0.13,0.0,21.52,100.73,54.64,0.13,0.0,0.0,0.53,0.2,24.5,0.13,25.0,0.53,0.13,0.13,0.5,11.5,0.0,0,0,0.4,0.4,0.05,0.6,0.6
Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20.0,2003.0,13.7,56.6,3.58,1.82,1.97,0.95,0.66,2.19,3.87,1.68,1.53,0.22,1.31,0.88,4.45,1.31,0.0,3.51,0.29,2.12,0.66,0.15,0.0,0.36,0.22,0.15,0.0,0.07,0.0,0.07,0.0,68.7,81.5,74.4,37.5,25.04,36.42,402.99,132.55,12.19,14.96,9.78,13.14,1.97,5.26,0.07,0.17,0.12,-0.09,1.75,2.34,0.66,0.22,3.43,36.42,32.48,3.8,1.68,0.29,0.07,3.94,0.29,1.75,0.51,0.95,0.0,25.04,0.15,1.39,31,14,"1,232",0,0,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26,0.44,0.0,1.75,3.43,3.72,48.8,41.5,52.12,1.75,11.68,23.65,17.66,2.63,52.12,2.99,1.46,1.24,26.57,150.58,68.54,1.75,1.39,0.51,2.34,1.53,27.88,3.72,17.4,1.68,0.29,0.04,0.25,19.8,2.0,0,0,1.2,1.2,0.05,-0.2,-0.2
Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30.0,1993.0,11.7,50.0,1.28,0.85,0.43,0.6,0.26,0.43,0.85,0.43,0.77,0.0,0.77,0.6,1.88,0.26,0.0,5.14,0.26,3.25,0.94,0.26,0.26,0.43,0.0,0.17,0.0,0.09,0.0,0.0,0.0,78.9,87.2,86.8,46.5,41.2,52.22,571.11,192.82,23.25,26.67,11.2,12.91,2.82,6.07,0.17,0.2,0.23,-0.03,2.56,4.53,1.79,0.26,5.73,52.22,45.64,6.24,2.48,0.26,0.43,4.79,0.26,2.91,1.11,1.45,0.0,41.2,0.34,1.37,19,10,"1,049",0,0,0.09,0.26,0.09,0.26,0.19,0.2,0.39,0.19,0.39,0.09,0.0,2.74,5.73,6.58,61.8,17.6,64.02,0.34,4.1,30.85,30.0,4.62,64.02,2.91,1.79,0.51,38.38,190.77,95.13,2.74,2.39,0.6,3.68,1.97,49.91,6.58,25.0,2.4,0.6,0.04,0.14,19.2,6.0,0,0,2.2,2.2,0.08,-1.2,-1.2
João Félix,pt POR,FW,Barcelona,es La Liga,23.0,1999.0,17.1,36.4,1.29,0.94,0.53,0.41,0.35,0.47,1.29,0.82,0.82,0.06,0.76,0.58,1.87,0.64,0.0,3.62,0.53,2.51,0.0,0.41,0.53,0.12,0.06,0.23,0.0,0.12,0.18,0.0,0.0,81.1,90.6,79.8,47.8,31.46,38.77,428.6,80.23,20.76,22.92,8.07,10.12,1.29,2.69,0.18,0.18,0.15,-0.01,1.11,1.81,1.17,0.06,3.98,38.77,36.9,1.46,0.29,0.47,0.41,0.99,0.7,0.47,0.23,0.0,0.0,31.46,0.41,0.76,30,18,"1,540",0,0,0.41,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,0.18,0.0,4.04,3.98,9.88,32.6,57.3,54.33,0.88,5.32,20.53,28.95,6.08,54.33,5.2,1.7,2.98,35.85,213.33,112.87,4.04,3.1,1.81,2.51,1.87,44.8,9.88,41.0,3.56,1.46,0.11,0.28,15.8,1.0,0,0,8.7,8.7,0.14,-1.7,-1.7
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25.0,1997.0,32.5,64.0,1.14,0.65,0.55,0.43,0.15,0.49,0.77,0.28,1.38,1.08,0.31,1.42,2.55,5.48,0.06,0.62,0.0,0.37,0.06,0.0,0.06,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,81.4,86.9,89.0,50.6,41.51,51.02,794.65,297.88,14.68,16.89,22.31,25.08,4.06,8.03,0.0,0.02,0.04,-0.02,0.28,2.86,0.15,0.0,3.11,51.02,48.06,2.8,1.38,0.0,0.34,0.09,0.12,0.0,0.0,0.0,0.0,41.51,0.15,0.18,33,33,"2,921",0,0,0.06,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07,0.15,0.03,0.77,3.11,0.18,85.7,14.3,62.65,9.2,31.6,28.18,3.17,1.63,62.65,0.22,0.18,0.03,33.14,156.92,80.25,0.77,0.34,0.03,0.52,0.22,36.98,0.18,23.1,0.4,0.09,0.15,0.67,9.2,0.0,0,0,1.4,1.4,0.11,0.6,0.6
Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32.0,1991.0,17.6,55.9,1.99,1.42,1.08,0.74,0.17,1.08,1.93,0.85,1.19,0.34,0.85,1.76,3.75,2.56,0.0,1.76,0.23,1.48,0.23,0.0,0.0,0.0,0.06,0.17,0.06,0.0,0.0,0.0,0.0,83.8,94.2,86.3,48.3,53.35,63.69,873.52,339.09,26.59,28.24,22.9,26.53,3.3,6.82,0.0,0.03,0.04,-0.03,0.4,4.77,0.34,0.17,5.68,63.69,53.35,10.17,1.48,0.0,0.23,1.59,8.69,0.0,0.0,0.0,0.0,53.35,0.17,1.08,23,16,"1,583",0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.45,0.06,2.61,5.68,2.56,54.5,45.5,72.44,3.52,26.14,34.32,12.95,0.51,72.44,0.62,0.34,0.28,35.62,213.07,117.78,2.61,1.53,0.06,1.02,0.28,42.22,2.56,0.0,0.06,0.0,0.0,0.0,51.1,1.0,0,0,0.0,0.0,0.01,0.0,0.0
