,Player,Nation,Pos,Squad,Comp,Age,Born,90s,MP,Starts,Min,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Main_Pos,Secondary_Pos,Total_90s
0,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.8,22,20,1780,73.1,2.12,1.26,0.91,1.01,0.2,0.96,1.31,0.35,1.52,0.76,0.76,2.07,4.19,3.43,0.05,1.31,0.15,1.21,0.05,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,83.5,89.5,85.3,50.0,41.57,49.8,546.67,178.74,27.07,30.25,12.27,14.39,0.96,1.92,0.1,0.08,0.07,0.03,0.61,2.58,0.81,0.15,3.89,49.8,42.37,7.32,0.35,0.0,0.05,0.71,6.97,0.0,0.0,0.0,0.0,41.57,0.1,1.36,0.0,0.0,0.0,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08,0.2,0.0,1.52,3.89,2.73,53.1,28.1,61.87,4.29,21.41,27.17,14.04,1.21,61.87,1.62,0.86,0.45,30.0,146.92,72.17,1.52,1.36,0.2,1.06,0.45,34.9,2.73,33.3,0.15,0.05,0.0,0.0,20.2,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,DF,None,19.8
1,Aarón Martín,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.3,22,17,1376,40.9,1.37,0.65,0.46,0.65,0.26,0.59,1.44,0.85,0.78,0.26,0.52,0.59,1.96,0.98,0.0,2.16,0.13,1.31,0.78,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,69.6,90.3,74.4,42.2,28.17,40.46,506.41,178.24,12.75,14.12,11.05,14.84,3.53,8.37,0.07,0.11,0.11,-0.05,1.7,1.7,1.05,0.72,2.29,40.46,32.35,7.78,1.05,0.0,0.13,6.93,4.64,2.09,0.46,1.37,0.0,28.17,0.33,1.44,0.0,0.0,0.0,0.07,0.0,0.07,0.01,0.11,0.12,0.01,0.12,0.26,0.07,1.83,2.29,4.71,50.0,50.0,45.95,1.7,10.85,18.82,16.67,0.65,45.95,0.78,0.39,0.39,23.99,120.2,63.53,1.83,1.37,0.2,0.78,0.26,28.24,4.71,0.0,0.33,0.0,0.0,0.0,24.8,2.0,0,0,0.2,0.2,0.03,-0.2,-0.2,DF,None,15.3
2,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30.0,1993.0,29.2,32,32,2629,39.1,1.47,0.92,0.68,0.48,0.31,0.62,1.58,0.96,0.79,0.1,0.68,0.51,1.99,0.65,0.0,2.29,0.17,2.02,0.0,0.0,0.21,0.03,0.03,0.1,0.0,0.0,0.07,0.0,0.0,76.5,84.1,83.0,47.5,23.39,30.58,335.86,79.76,13.05,15.51,8.18,9.86,0.96,2.02,0.03,0.1,0.05,-0.07,1.16,1.47,0.62,0.03,3.32,30.58,30.0,0.55,0.0,0.03,0.03,0.89,0.0,0.0,0.0,0.0,0.0,23.39,0.03,0.99,0.0,0.0,0.24,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,0.24,0.0,1.88,3.32,4.79,52.1,43.8,40.75,1.23,6.44,17.91,16.95,3.42,40.75,1.64,0.86,0.72,21.75,112.74,57.95,1.88,1.27,0.58,2.09,1.44,27.4,4.79,44.7,1.61,0.72,0.15,0.33,12.2,0.0,0,0,8.8,8.8,0.2,-1.8,-1.8,FW,MF,29.2
3,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24.0,1998.0,21.5,25,20,1932,50.0,1.35,0.88,0.65,0.42,0.28,0.79,1.58,0.79,1.3,0.19,1.12,0.56,1.91,1.3,0.09,4.33,0.65,3.67,0.05,0.09,0.23,0.23,0.05,0.6,0.0,0.0,0.05,0.0,0.0,86.5,92.0,88.1,61.6,79.63,92.05,1179.35,375.53,44.09,47.91,28.51,32.37,3.58,5.81,0.23,0.24,0.2,-0.01,2.0,7.12,2.09,0.6,10.14,92.05,82.47,9.44,1.35,0.19,0.28,3.67,7.44,0.65,0.05,0.33,0.0,79.63,0.14,1.95,0.0,0.0,0.19,0.42,0.19,0.42,0.2,0.24,0.44,0.2,0.44,0.14,0.0,3.91,10.14,10.7,47.4,52.6,103.12,3.16,19.77,45.4,38.84,3.12,103.12,2.65,1.26,1.4,81.95,428.6,229.86,3.91,3.63,1.02,1.53,1.53,78.09,10.7,28.6,1.96,0.56,0.1,0.33,19.8,9.0,0,0,4.2,4.2,0.1,-0.2,-0.2,DF,None,21.5
4,Adam Marušić,me MNE,DF,Lazio,it Serie A,30.0,1992.0,34.4,37,37,3100,55.1,1.31,0.9,0.7,0.55,0.06,0.78,1.42,0.64,0.78,0.2,0.58,0.84,2.15,1.83,0.06,0.99,0.06,0.84,0.03,0.06,0.03,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,83.0,90.2,82.7,56.0,45.35,54.65,701.74,266.19,24.51,27.18,16.92,20.47,2.59,4.62,0.0,0.02,0.03,-0.02,0.29,3.2,0.7,0.32,3.43,54.65,45.78,8.84,0.58,0.0,0.12,1.28,8.26,0.0,0.0,0.0,0.0,45.35,0.03,0.78,0.0,0.0,0.03,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04,0.09,0.03,1.02,3.43,3.14,43.8,43.8,61.13,2.97,20.2,29.88,11.37,0.64,61.13,0.93,0.41,0.41,28.46,127.27,68.84,1.02,0.9,0.09,0.7,0.15,38.78,3.14,37.5,0.23,0.09,0.13,0.33,19.9,0.0,0,0,0.4,0.4,0.05,0.6,0.6,DF,None,34.4
5,Adam Webster,eng ENG,DF,Brighton,eng Premier League,28.0,1995.0,12.7,15,13,1144,33.3,1.1,0.94,0.63,0.39,0.08,0.47,1.42,0.94,1.26,0.94,0.31,1.26,2.36,3.39,0.08,1.1,0.0,1.02,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,92.6,93.6,70.9,78.5,86.3,1333.7,459.69,33.7,36.38,38.98,41.65,4.41,6.22,0.0,0.01,0.02,-0.01,0.39,7.24,0.31,0.0,6.3,86.3,83.7,2.44,1.81,0.08,0.31,0.08,0.55,0.0,0.0,0.0,0.0,78.5,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,0.16,0.0,1.26,6.3,0.16,0.0,100.0,94.57,8.35,38.98,49.21,6.77,1.1,94.57,0.16,0.0,0.16,64.09,320.71,185.59,1.26,1.26,0.0,0.39,0.16,71.1,0.16,0.0,0.63,0.0,0.0,0.0,9.9,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,DF,None,12.7
6,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25.0,1997.0,21.0,31,22,1894,36.4,0.95,0.71,0.1,0.52,0.33,0.38,1.05,0.67,0.9,0.0,0.9,0.43,1.38,0.0,0.05,4.81,0.67,3.1,0.48,0.76,0.19,0.19,0.1,0.43,0.05,0.1,0.05,0.05,0.0,75.8,85.3,81.4,39.2,30.24,39.9,434.05,119.0,17.9,21.0,9.57,11.76,1.38,3.52,0.33,0.25,0.23,0.09,2.38,2.19,1.52,0.1,4.62,39.9,36.14,3.76,0.29,0.29,0.19,3.29,0.38,2.48,0.95,0.81,0.0,30.24,0.0,1.33,0.0,0.0,0.52,0.86,0.52,0.86,0.43,0.25,0.68,0.43,0.68,0.19,0.0,3.43,4.62,10.57,44.8,42.5,52.81,0.1,2.57,21.81,28.9,6.14,52.81,4.14,1.86,1.76,33.29,202.71,93.9,3.43,2.0,1.67,3.14,2.0,41.24,10.57,35.8,3.18,1.14,0.16,0.46,14.3,0.0,0,0,9.1,9.1,0.14,1.9,1.9,FW,MF,21.0
7,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31.0,1992.0,27.5,36,29,2476,49.1,2.0,1.35,1.05,0.55,0.4,0.95,1.93,0.98,1.35,0.04,1.31,0.55,2.55,0.44,0.0,3.93,0.29,2.15,0.91,0.29,0.22,0.22,0.15,0.15,0.04,0.0,0.11,0.0,0.0,65.6,85.6,68.1,38.7,22.15,33.75,358.58,110.51,12.33,14.4,6.51,9.56,2.44,6.29,0.07,0.16,0.13,-0.09,1.89,1.45,0.91,0.58,2.11,33.75,28.0,5.45,1.27,0.0,0.58,6.22,0.58,3.42,1.31,1.13,0.0,22.15,0.29,1.56,1.0,1.0,0.11,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29,0.18,0.0,3.42,2.11,6.07,38.7,54.6,47.85,0.65,7.09,18.69,23.02,2.36,47.82,4.33,1.67,2.36,27.24,181.24,87.49,3.42,2.0,0.87,2.87,1.27,29.85,6.07,38.1,2.29,0.87,0.03,0.08,24.1,12.0,1,1,4.3,3.5,0.06,-1.3,-1.5,FW,MF,27.5
8,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28.0,1995.0,29.5,31,30,2651,66.7,1.97,1.32,0.75,1.02,0.2,1.02,1.53,0.51,0.88,0.2,0.68,0.85,2.81,1.15,0.0,2.17,0.17,1.83,0.0,0.07,0.14,0.14,0.0,0.14,0.0,0.03,0.0,0.0,0.0,82.2,88.4,84.1,65.4,33.76,41.05,507.12,125.12,18.58,21.02,12.24,14.54,1.8,2.75,0.1,0.14,0.14,-0.04,0.88,3.49,0.78,0.34,4.07,41.05,39.56,1.36,0.51,0.1,0.24,1.53,0.85,0.0,0.0,0.0,0.0,33.76,0.14,0.92,0.0,0.0,0.17,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25,0.27,0.0,2.44,4.07,3.59,51.9,38.9,51.69,2.34,9.12,28.1,15.15,2.68,51.69,1.83,0.95,0.71,30.27,189.15,93.08,2.44,2.0,0.34,1.76,0.64,34.81,3.59,42.1,1.29,0.54,0.13,0.31,16.9,0.0,0,0,3.5,3.4,0.09,1.5,1.6,MF,None,29.5
9,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29.0,1994.0,23.8,29,25,2146,48.6,1.47,0.67,0.55,0.76,0.17,0.76,1.55,0.8,1.01,0.46,0.55,1.97,3.45,1.05,0.08,1.34,0.17,1.22,0.0,0.0,0.04,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.08,86.7,91.3,90.7,67.3,46.47,53.61,795.67,229.66,19.41,21.26,23.07,25.42,2.86,4.24,0.08,0.09,0.05,-0.01,0.8,3.4,0.42,0.13,3.78,53.61,51.18,2.35,1.64,0.04,0.21,0.63,0.67,0.0,0.0,0.0,0.0,46.47,0.08,0.97,0.0,0.0,0.0,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,0.25,0.04,0.92,3.78,1.64,63.2,26.3,62.69,3.82,22.52,32.65,8.24,0.88,62.69,0.8,0.5,0.21,36.39,171.26,76.39,0.92,1.05,0.08,0.84,0.71,41.22,1.64,0.0,0.38,0.0,0.0,0.0,13.0,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,DF,MF,23.8
