,Player,Nation,Pos,Squad,Comp,Age,Born,90s,MP,Starts,Min,Dribblers_Tackle_W%,Tackles_per90,Tackles_Won_per90,Tackles_Def_3rd_per90,Tackles_Mid_3rd_per90,Tackles_Att_3rd_per90,Dribblers_Tackled_per90,Dribblers_Challenged_per90,Dribblers_Tackle_Lost_per90,Blocks_per90,Shots_Blocked_per90,Passes_Blocked_Def_per90,Interceptions_per90,Tackles+Interceptions_per90,Clearances_per90,Errors_Shots_per90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per90,Pass_Dead_Shot_per90,Take_Ons_Shot_per90,Shot-Shot_per90,Fouls_drawn_Shot_per90,Defensive_Shot_per90,Pass_Live_Goal_per90,Pass_Dead_Goal_per90,Take_Ons_Goal_per90,Shot_Goal_per90,Fouls_Drawn_Goal_per90,Defensive_Goal_per90,Passes_Total_Cmp%,Passes_Short_Cmp%,Passes_Medium_Cmp%,Passes_Long_Cmp%,Passes_Total_Cmp_per90,Passes_Total_Att_per90,Passes_TotDist_per90,Passes_PrgDist_per90,Passes_Short_Cmp_per90,Passes_Short_Att_per90,Passes_Medium_Cmp_per90,Passes_Medium_Att_per90,Passes_Long_Cmp_per90,Passes_Long_Att_per90,Assists_per90,xAG_per90_x,xA_per90,A-xAG_per90,Key_Passes_per90,Passes_1/3_per90,Passes_Penalty_Area_per90,Crosses_Penalty_Area_per90,Progressive_Passes_per90,Passes_Attempted_per90,Live_Ball_Passes_per90,Dead_Ball_Passes_per90,Free_Kick_Passes_per90,Through_Balls_per90,Switches_per90,Crosses_per90,Throw_Ins_Taken_per90,Corner_Kicks_per90,In_Corner_Kicks_per90,Out_Corner_Kicks_per90,Str_Corner_Kicks_per90,Passes_Cmp_per90,Passes_Offside_per90,Passes_Blocked_Off_per90,PK,PK_Attempted,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90_y,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Yellow_per90,Red_per90,Prg_Carries_per90,Prg_Passes_per90,Prg_Passes_Received_per90,Take_Ons_Succ%,Tackled_Take_Ons%,Touches_per90,Touches_Def_Pen_per90,Touches_Def_3rd_per90,Touches_Mid_3rd_per90,Touches_Att_3rd_per90,Touches_Att_Pen_per90,Tocuhes_Live_Balls_per90,Take_Ons_Attempted_per90,Take_Ons_Succ_per90,Tackled_Take_Ons_per90,Carries_per90,Total_Distance_per90,Progressive_Distance_Carried_per90,Progressive_Carries_per90,1/3_Carries_per90,Carries_Penalty_Area_per90,Miscontrols_per90,Dispossessed_per90,Passes_Received_per90,Progressive_Passes_Received_per90,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Main_Pos,Secondary_Pos,Total_90s
10,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29.0,1993.0,13.3,29,13,1193,32.4,1.88,1.05,0.3,1.2,0.38,0.83,2.56,1.73,1.05,0.0,1.05,0.68,2.56,0.75,0.08,5.64,0.23,4.44,0.68,0.0,0.3,0.23,0.0,0.08,0.08,0.0,0.0,0.08,0.0,74.5,81.8,77.4,51.9,38.05,51.05,576.84,143.53,19.62,23.98,14.44,18.65,2.03,3.91,0.15,0.29,0.29,-0.14,2.26,3.31,1.13,0.23,5.11,51.05,47.97,2.86,1.35,0.08,0.08,3.53,0.15,1.35,0.15,0.83,0.0,38.05,0.23,2.33,0.0,0.0,0.08,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58,0.15,0.08,1.5,5.11,9.1,64.3,35.7,61.8,1.28,8.05,24.81,29.55,5.64,61.8,1.05,0.68,0.38,45.94,227.59,83.98,1.5,1.73,0.53,2.18,1.65,43.16,9.1,19.4,2.34,0.45,0.03,0.17,14.3,0.0,0,0,3.8,3.8,0.12,-2.8,-2.8,MF,None,13.3
11,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,21.0,2001.0,23.8,30,24,2145,62.5,1.64,0.88,0.97,0.42,0.25,1.05,1.68,0.63,1.3,0.21,1.09,0.8,2.44,2.06,0.0,1.59,0.13,1.13,0.0,0.17,0.08,0.21,0.0,0.04,0.0,0.0,0.04,0.04,0.0,78.5,86.9,78.2,50.6,43.99,56.01,679.96,232.35,23.4,26.93,17.65,22.56,1.81,3.57,0.08,0.08,0.08,0.01,0.8,2.31,0.92,0.42,4.12,56.01,45.42,10.38,0.88,0.0,0.04,3.03,9.45,0.04,0.04,0.0,0.0,43.99,0.21,1.22,0.0,0.0,0.04,0.13,0.04,0.13,0.07,0.08,0.15,0.07,0.15,0.25,0.0,2.14,4.12,7.61,42.9,50.0,66.64,3.07,16.3,27.94,22.9,1.97,66.64,2.35,1.01,1.18,42.98,249.87,114.79,2.14,2.56,0.34,1.43,1.01,39.54,7.61,35.0,0.84,0.29,0.05,0.14,20.7,0.0,0,0,1.7,1.7,0.08,-0.7,-0.7,DF,None,23.8
12,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,25.0,1997.0,12.5,21,11,1127,68.6,2.88,1.68,1.6,0.8,0.48,1.92,2.8,0.88,1.28,0.64,0.64,0.72,3.6,2.64,0.0,1.91,0.24,1.52,0.08,0.16,0.16,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.0,71.8,90.0,74.3,42.9,40.32,56.16,720.08,328.72,17.28,19.2,18.72,25.2,3.84,8.96,0.16,0.16,0.07,0.0,0.96,2.8,0.88,0.8,3.12,56.16,41.92,14.0,0.88,0.0,0.08,2.32,13.12,0.0,0.0,0.0,0.0,40.32,0.24,1.52,0.0,0.0,0.0,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,0.16,0.0,1.92,3.12,1.84,52.6,36.8,67.04,3.52,19.52,33.44,14.48,0.48,67.04,1.52,0.8,0.56,29.76,160.0,73.36,1.92,1.84,0.08,1.12,0.64,34.32,1.84,28.6,0.56,0.16,0.0,0.0,24.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,DF,None,12.5
13,Alassane Pléa,fr FRA,"FW,MF",Gladbach,de Bundesliga,30.0,1993.0,21.3,27,24,1913,46.7,0.8,0.33,0.23,0.38,0.19,0.33,0.7,0.38,0.52,0.0,0.52,0.09,0.89,0.28,0.0,3.62,0.52,2.58,0.28,0.23,0.19,0.33,0.0,0.33,0.05,0.09,0.0,0.05,0.0,69.9,81.7,69.7,59.8,25.4,36.34,412.07,126.48,13.24,16.2,8.73,12.54,2.44,4.08,0.19,0.19,0.19,0.0,1.69,2.21,1.78,0.14,5.4,36.34,33.8,2.54,0.33,0.61,0.38,2.07,0.19,0.33,0.14,0.14,0.0,25.4,0.0,1.55,1.0,1.0,0.33,0.52,0.28,0.47,0.33,0.19,0.52,0.29,0.48,0.05,0.0,2.63,5.4,7.37,39.6,49.1,45.63,0.28,3.33,22.16,20.94,4.23,45.59,2.49,0.99,1.22,29.81,144.32,76.67,2.63,2.07,0.99,1.6,1.55,35.96,7.37,31.6,2.68,0.85,0.11,0.33,17.6,0.0,1,1,7.0,6.2,0.11,0.0,-0.2,FW,MF,21.3
14,Alberto Grassi,it ITA,MF,Empoli,it Serie A,28.0,1995.0,20.1,27,22,1807,38.5,1.49,0.9,0.65,0.65,0.2,0.5,1.29,0.8,1.29,0.55,0.75,2.04,3.53,1.84,0.0,1.19,0.15,1.0,0.0,0.0,0.1,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,80.8,88.1,85.3,56.7,34.63,42.84,594.78,207.21,16.22,18.41,14.38,16.87,2.94,5.17,0.05,0.03,0.06,0.02,0.3,4.43,0.3,0.0,3.73,42.84,40.7,1.94,1.54,0.15,0.05,0.25,0.2,0.0,0.0,0.0,0.0,34.63,0.2,0.65,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.03,0.09,0.05,0.09,0.3,0.05,0.65,3.73,0.65,50.0,40.0,53.98,3.33,16.12,31.09,7.11,0.8,53.98,0.5,0.25,0.2,26.12,121.19,47.61,0.65,0.65,0.0,0.65,0.35,30.6,0.65,21.7,1.15,0.25,0.0,0.0,20.0,1.0,0,0,1.1,1.1,0.05,-1.1,-1.1,MF,None,20.1
15,Alberto Moreno,es ESP,DF,Villarreal,es La Liga,31.0,1992.0,16.5,27,17,1484,33.3,1.88,1.27,1.15,0.61,0.12,0.61,1.82,1.21,0.73,0.12,0.61,1.45,3.33,2.0,0.0,2.18,0.49,1.64,0.12,0.0,0.18,0.24,0.0,0.3,0.06,0.0,0.06,0.06,0.0,79.9,88.6,84.5,57.7,35.52,44.42,628.67,228.24,16.48,18.61,14.91,17.64,3.64,6.3,0.12,0.1,0.11,0.02,0.97,2.12,1.39,0.55,3.33,44.42,38.06,6.06,0.79,0.0,0.67,2.97,5.15,0.12,0.06,0.06,0.0,35.52,0.3,0.85,0.0,0.0,0.12,0.24,0.12,0.24,0.04,0.1,0.14,0.04,0.14,0.3,0.12,1.58,3.33,4.79,50.0,40.0,53.64,3.21,16.91,21.15,16.12,1.64,53.64,0.61,0.3,0.24,24.36,123.76,62.61,1.58,1.27,0.12,1.03,0.18,31.7,4.79,29.4,1.03,0.3,0.12,0.4,19.8,0.0,0,0,0.7,0.7,0.04,1.3,1.3,DF,None,16.5
16,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,27.0,1996.0,23.9,25,25,2147,35.7,1.76,1.26,0.59,0.92,0.25,0.63,1.76,1.13,1.55,0.13,1.42,0.88,2.64,0.59,0.0,4.28,0.29,2.59,1.21,0.13,0.13,0.13,0.08,0.25,0.0,0.0,0.04,0.0,0.0,75.6,84.5,78.7,58.8,39.12,51.72,681.72,222.76,18.41,21.8,13.6,17.28,5.19,8.83,0.25,0.2,0.27,0.05,2.09,4.14,2.59,0.21,7.2,51.72,45.86,5.4,1.42,0.59,0.46,4.6,0.54,3.43,1.09,1.92,0.0,39.12,0.46,1.13,0.0,0.0,0.25,0.5,0.25,0.5,0.14,0.2,0.34,0.14,0.34,0.33,0.04,2.09,7.2,6.57,54.5,38.6,61.63,0.92,6.74,26.65,28.79,2.05,61.63,1.84,1.0,0.71,44.77,249.75,104.14,2.09,1.97,0.75,1.76,0.96,41.88,6.57,43.2,1.84,0.8,0.14,0.32,21.5,6.0,0,0,3.4,3.4,0.08,2.6,2.6,MF,FW,23.9
17,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24.0,1999.0,25.2,28,28,2268,65.0,1.83,1.31,1.23,0.48,0.12,1.03,1.59,0.56,0.99,0.44,0.56,0.91,2.74,1.9,0.04,2.5,0.24,2.14,0.04,0.0,0.16,0.12,0.04,0.24,0.0,0.0,0.0,0.0,0.0,86.4,93.7,91.7,67.6,66.31,76.79,1271.71,415.6,26.63,28.41,30.36,33.1,8.37,12.38,0.12,0.13,0.12,-0.02,0.87,5.36,1.39,0.56,5.63,76.79,70.91,5.52,2.3,0.04,1.15,3.02,2.82,0.0,0.0,0.0,0.0,66.31,0.36,1.19,0.0,0.0,0.04,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18,0.2,0.0,2.5,5.63,3.06,52.6,42.1,84.4,8.29,30.52,39.13,15.4,1.39,84.4,0.75,0.4,0.32,56.9,289.44,173.06,2.5,2.62,0.24,0.48,0.4,63.97,3.06,40.0,0.6,0.24,0.07,0.17,13.3,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,DF,None,25.2
18,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24.0,1999.0,28.1,29,29,2527,70.6,2.49,1.39,1.53,0.85,0.11,0.85,1.21,0.36,0.71,0.43,0.28,2.46,4.95,4.66,0.0,0.78,0.04,0.6,0.0,0.0,0.04,0.04,0.11,0.0,0.0,0.0,0.0,0.04,0.0,85.3,86.8,90.8,57.5,36.01,42.24,625.16,187.01,14.06,16.19,19.68,21.67,1.78,3.1,0.0,0.0,0.01,-0.0,0.14,1.0,0.14,0.04,2.21,42.24,41.35,0.89,0.75,0.04,0.07,0.11,0.11,0.0,0.0,0.0,0.0,36.01,0.0,0.25,0.0,0.0,0.11,0.11,0.11,0.11,0.06,0.0,0.06,0.06,0.06,0.25,0.0,0.5,2.21,0.36,0.0,100.0,54.77,5.44,26.3,26.62,2.28,0.68,54.77,0.14,0.0,0.14,26.33,131.74,48.51,0.5,0.36,0.07,0.93,0.14,28.79,0.36,46.2,0.46,0.21,0.23,0.5,9.5,0.0,0,0,1.6,1.6,0.12,1.4,1.4,DF,None,28.1
19,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,28.0,1995.0,26.8,29,26,2411,66.7,0.93,0.67,0.52,0.41,0.0,0.6,0.9,0.3,1.08,0.63,0.45,1.08,2.01,4.29,0.0,0.45,0.04,0.41,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,91.2,95.3,94.7,62.7,59.85,65.63,1021.08,372.01,25.0,26.23,30.0,31.68,3.58,5.71,0.0,0.02,0.02,-0.02,0.22,3.06,0.19,0.04,3.25,65.63,60.63,4.78,2.13,0.04,0.11,0.04,0.07,0.0,0.0,0.0,0.0,59.85,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,0.34,0.0,0.26,3.25,0.07,0.0,100.0,74.44,10.3,36.31,37.01,1.34,0.67,74.44,0.04,0.0,0.04,36.6,162.72,75.52,0.26,0.07,0.0,0.34,0.0,50.26,0.07,45.5,0.41,0.19,0.0,0.0,12.0,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,DF,None,26.8
